subtype	country	data_type	mean_weighted_location	std_weighted_location	min_weighted_location	max_weighted_location	trend_slope	data_points	smoothing_effect
BVIC	afghanistan	original	0.01043123543123543	0.10118738551390058	0.0	1.1083333333333332	-0.00036870047488527343	121	0.0
BVIC	afghanistan	smoothed	0.01043123543123542	0.04544676159590011	0.0	0.3648076923076923	-0.00034875002460695416	121	0.05574062391800047
BVIC	albania	original	0.21114888843494548	1.2087408397253623	0.0	10.5	0.006544602086665183	121	0.0
BVIC	albania	smoothed	0.21074919267429731	0.7207204729976178	0.0	4.365837096774194	0.006927689525059027	121	0.4880203667277445
BVIC	algeria	original	0.1590909090909091	1.233150906022776	0.0	12.25	-0.004069570518899879	121	0.0
BVIC	algeria	smoothed	0.1590909090879453	0.5220353969255194	0.0	3.885	-0.0037652982885519916	121	0.7111155090972567
BVIC	argentina	original	16.892679456115285	98.42659091246865	0.0	953.0	0.40881559312763827	121	0.0
BVIC	argentina	smoothed	17.240946222405086	44.73827456673891	0.0003389755560611	328.14616570175644	0.4113892111024662	121	53.688316345729746
BVIC	armenia	original	0.4297520661157025	3.219456466319863	0.0	25.5	-0.013798943232624305	121	0.0
BVIC	armenia	smoothed	0.4297520009190213	1.725879157644164	0.0	12.9	-0.01297701643605585	121	1.4935773086756987
BVIC	australia	original	12.14757335439108	40.14579318068181	0.0	317.0	0.013444515692778715	121	0.0
BVIC	australia	smoothed	12.312293955938417	25.066282745729367	0.0092925041669352	167.44304861527624	0.024257758494755588	121	15.07951043495244
BVIC	austria	original	2.455769101188588	8.248645836896278	0.0	75.85714285714286	-0.010780059641111284	121	0.0
BVIC	austria	smoothed	2.4209599183269543	4.532230258257734	0.0	27.653569768116267	-0.007890267574278007	121	3.7164155786385447
BVIC	bahamas	original	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	bahamas	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	bahrain	original	0.28644519356241843	0.7980892226011523	0.0	5.5	-0.00019574916155040196	121	0.0
BVIC	bahrain	smoothed	0.28623986379341637	0.5499873170916103	0.0	2.960278880012393	0.00034143764140767257	121	0.24810190550954203
BVIC	bangladesh	original	0.03418936122810554	0.20756373000317058	0.0	1.75	-0.0015515679330703558	121	0.0
BVIC	bangladesh	smoothed	0.03418936122810552	0.12634506142642282	0.0	0.8505	-0.0014861784443827215	121	0.08121866857674775
BVIC	barbados	original	0.036501377410468314	0.2435797654897586	0.0	2.0	-0.0008145915187643944	121	0.0
BVIC	barbados	smoothed	0.0365013774104546	0.10928601483194006	0.0	0.6009363378187985	-0.0007447801412041003	121	0.13429375065781854
BVIC	belarus	original	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	belarus	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	belgium	original	14.531030853397432	63.628529835919096	0.0	566.3333333333334	0.3916177638755247	121	0.0
BVIC	belgium	smoothed	14.183003482741965	35.29448839788015	0.0	214.3163975049299	0.4013423582878864	121	28.334041438038945
BVIC	belize	original	0.02066115702479339	0.16258112043723968	0.0	1.5	-0.00022693401978051743	121	0.0
BVIC	belize	smoothed	0.020661157024699364	0.06948222222885593	0.0	0.4852946999999999	-0.00018741814569426266	121	0.09309889820838375
BVIC	bermuda	original	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	bermuda	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	bhutan	original	0.2325003279548734	1.102200575907622	0.0	10.0	0.006797972271146636	121	0.0
BVIC	bhutan	smoothed	0.2324558861830377	0.7582911091606342	0.0	4.235203333333333	0.007240337943014213	121	0.34390946674698786
BVIC	bolivia	original	0.3202241610788805	0.88890057548901	0.0	4.5	-0.0024434856632658234	121	0.0
BVIC	bolivia	smoothed	0.3195943996029859	0.5056805849202977	0.0	2.4375520027338458	-0.0018637276176012897	121	0.38321999056871237
BVIC	bosnia and herzegovina	original	0.008264462809917356	0.09053265413308528	0.0	1.0	-0.0003658040915865059	121	0.0
BVIC	bosnia and herzegovina	smoothed	0.008264462809917342	0.037284490984567834	0.0	0.3	-0.00034999774195005137	121	0.05324816314851745
BVIC	brazil	original	6.438546235618122	9.197980777492743	0.0	50.25	0.006775449307791242	121	0.0
BVIC	brazil	smoothed	6.238041590313302	5.6276821708539	0.0	29.405045675497604	0.008680897679761532	121	3.5702986066388434
BVIC	brunei	original	0.3417945690672964	1.283656943849267	0.0	9.0	0.01112267017632144	121	0.0
BVIC	brunei	smoothed	0.3338475497383219	0.7219236331146949	0.0	3.940995	0.011363825452541646	121	0.5617333107345722
BVIC	bulgaria	original	0.02747933884297521	0.2075885989947924	0.0	2.0	0.00033870749220972767	121	0.0
BVIC	bulgaria	smoothed	0.025916704544664205	0.08849189110551633	0.0	0.6	0.00031014324500255235	121	0.11909670788927607
BVIC	burkina faso	original	0.01652892561983471	0.18106530826617062	0.0	2.0	0.0004064489906516731	121	0.0
BVIC	burkina faso	smoothed	0.016528664834079266	0.0745690397645684	0.0	0.6	0.00043804815186623846	121	0.10649626850160222
BVIC	cambodia	original	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	cambodia	smoothed	0.0	0.0	0.0	0.0	0.0	121	0.0
BVIC	cameroon	original	0.11334120425029515	0.8128910269405853	0.0	8.0	-0.00428803685137515	121	0.0
BVIC	cameroon	smoothed	0.11334120425028574	0.3498988014428779	0.0	2.61	-0.004071264056361412	121	0.46299222549770747
BVIC	canada	original	33.037282390158154	95.06861171720784	0.0	757.5	0.09398146428030967	121	0.0
BVIC	canada	smoothed	31.00754811447151	41.79607060751718	0.0	247.52037783260505	0.051798804266825045	121	53.272541109690664
BVIC	central african republic	original	0.024793388429752067	0.27159796239925593	0.0	3.0	0.000792575531770763	121	0.0
BVIC	central african republic	smoothed	0.02478369465855722	0.11185561226056581	0.0	0.8999999999999999	0.0008394913521208293	121	0.15974235013869012
BVIC	chile	original	1.4243107126247099	2.720565015534794	0.0	17.333333333333332	0.010095576643409605	121	0.0
BVIC	chile	smoothed	1.4002415421866772	1.682939853643417	0.0	7.923410894349085	0.011570175715854081	121	1.037625161891377
BVIC	china	original	1.6512226608633638	4.721812638302049	0.0	35.646153846153844	-0.056368731274844056	121	0.0
BVIC	china	smoothed	1.6511273236621367	3.467957059374325	0.0	17.14218532194148	-0.053215604346480545	121	1.2538555789277241
BVIC	colombia	original	0.5767829813284359	2.2836489670447295	0.0	16.666666666666668	0.010853906677304589	121	0.0
